timestamp,dot_x,dot_y
12/13/2022 18:12:31:608836,0.0,8.0
12/13/2022 18:12:33:361519,1.0,8.0
12/13/2022 18:12:35:064600,2.0,8.0
12/13/2022 18:12:36:595795,3.0,8.0
12/13/2022 18:12:38:089103,4.0,8.0
12/13/2022 18:12:39:631510,5.0,8.0
12/13/2022 18:12:41:174696,6.0,8.0
12/13/2022 18:12:42:621763,7.0,8.0
12/13/2022 18:12:44:173504,8.0,8.0
12/13/2022 18:12:46:498298,0.0,6.0
12/13/2022 18:12:47:872200,1.0,6.0
12/13/2022 18:12:49:368161,2.0,6.0
12/13/2022 18:12:50:690450,3.0,6.0
12/13/2022 18:12:52:040397,4.0,6.0
12/13/2022 18:12:53:524539,5.0,6.0
12/13/2022 18:12:54:690944,6.0,6.0
12/13/2022 18:12:55:871815,7.0,6.0
12/13/2022 18:12:57:005736,8.0,6.0
12/13/2022 18:12:58:262736,0.0,4.0
12/13/2022 18:12:59:572675,1.0,4.0
12/13/2022 18:13:00:631937,2.0,4.0
12/13/2022 18:13:01:873032,3.0,4.0
12/13/2022 18:13:03:111778,4.0,4.0
12/13/2022 18:13:04:388760,5.0,4.0
12/13/2022 18:13:05:632188,6.0,4.0
12/13/2022 18:13:06:841588,7.0,4.0
12/13/2022 18:13:08:115866,8.0,4.0
12/13/2022 18:13:09:339004,0.0,2.0
12/13/2022 18:13:10:585556,1.0,2.0
12/13/2022 18:13:11:799288,2.0,2.0
12/13/2022 18:13:12:920581,3.0,2.0
12/13/2022 18:13:14:190775,4.0,2.0
12/13/2022 18:13:15:414778,5.0,2.0
12/13/2022 18:13:16:694642,6.0,2.0
12/13/2022 18:13:17:851688,7.0,2.0
12/13/2022 18:13:19:202809,8.0,2.0
12/13/2022 18:13:20:606966,0.0,0.0
12/13/2022 18:13:22:018325,1.0,0.0
12/13/2022 18:13:23:465039,2.0,0.0
12/13/2022 18:13:24:677786,3.0,0.0
12/13/2022 18:13:25:843585,4.0,0.0
12/13/2022 18:13:27:151764,5.0,0.0
12/13/2022 18:13:28:438796,6.0,0.0
12/13/2022 18:13:29:721103,7.0,0.0
12/13/2022 18:13:31:024677,8.0,0.0
12/13/2022 18:13:35:161721,0.0,8.0
12/13/2022 18:13:36:473611,1.0,8.0
12/13/2022 18:13:37:654632,2.0,8.0
12/13/2022 18:13:38:896839,3.0,8.0
12/13/2022 18:13:40:184645,4.0,8.0
12/13/2022 18:13:41:347668,5.0,8.0
12/13/2022 18:13:42:619645,6.0,8.0
12/13/2022 18:13:43:830565,7.0,8.0
12/13/2022 18:13:45:187266,8.0,8.0
12/13/2022 18:13:46:609393,0.0,6.0
12/13/2022 18:13:47:867627,1.0,6.0
12/13/2022 18:13:49:143737,2.0,6.0
12/13/2022 18:13:50:428761,3.0,6.0
12/13/2022 18:13:51:713694,4.0,6.0
12/13/2022 18:13:52:943375,5.0,6.0
12/13/2022 18:13:54:229712,6.0,6.0
12/13/2022 18:13:55:483569,7.0,6.0
12/13/2022 18:13:56:835612,8.0,6.0
12/13/2022 18:13:58:127969,0.0,4.0
12/13/2022 18:13:59:328609,1.0,4.0
12/13/2022 18:14:00:618174,2.0,4.0
12/13/2022 18:14:01:741182,3.0,4.0
12/13/2022 18:14:02:861710,4.0,4.0
