timestamp,dot_x,dot_y
08/09/2022 14:53:09:257063,0.0,8.0
08/09/2022 14:53:12:298931,1.0,8.0
08/09/2022 14:53:15:477639,2.0,8.0
08/09/2022 14:53:20:718555,3.0,8.0
08/09/2022 14:53:23:364103,4.0,8.0
08/09/2022 14:53:25:770239,5.0,8.0
08/09/2022 14:53:28:085019,6.0,8.0
08/09/2022 14:53:30:048743,7.0,8.0
08/09/2022 14:53:32:103751,8.0,8.0
08/09/2022 14:53:34:414027,0.0,6.0
08/09/2022 14:53:37:036364,1.0,6.0
08/09/2022 14:53:39:161845,2.0,6.0
08/09/2022 14:53:41:260968,3.0,6.0
08/09/2022 14:53:43:041606,4.0,6.0
08/09/2022 14:53:44:534772,5.0,6.0
08/09/2022 14:53:46:177003,6.0,6.0
08/09/2022 14:53:47:776692,7.0,6.0
08/09/2022 14:53:49:373859,8.0,6.0
08/09/2022 14:53:51:221115,0.0,4.0
08/09/2022 14:53:52:988460,1.0,4.0
08/09/2022 14:53:54:643094,2.0,4.0
08/09/2022 14:53:56:217663,3.0,4.0
08/09/2022 14:53:57:877596,4.0,4.0
08/09/2022 14:53:59:474872,5.0,4.0
08/09/2022 14:54:01:049303,6.0,4.0
08/09/2022 14:54:02:436722,7.0,4.0
08/09/2022 14:54:03:830137,8.0,4.0
08/09/2022 14:54:05:405643,0.0,2.0
08/09/2022 14:54:07:000366,1.0,2.0
08/09/2022 14:54:08:524922,2.0,2.0
08/09/2022 14:54:10:058894,3.0,2.0
08/09/2022 14:54:11:486036,4.0,2.0
08/09/2022 14:54:13:015742,5.0,2.0
08/09/2022 14:54:14:518314,6.0,2.0
08/09/2022 14:54:15:965252,7.0,2.0
08/09/2022 14:54:17:463453,8.0,2.0
08/09/2022 14:54:18:904433,0.0,0.0
08/09/2022 14:54:20:396300,1.0,0.0
08/09/2022 14:54:21:989813,2.0,0.0
08/09/2022 14:54:23:643107,3.0,0.0
08/09/2022 14:54:25:249989,4.0,0.0
08/09/2022 14:54:27:141511,5.0,0.0
08/09/2022 14:54:28:739875,6.0,0.0
08/09/2022 14:54:30:434573,7.0,0.0
08/09/2022 14:54:32:106656,8.0,0.0
08/09/2022 14:54:34:046383,0.0,8.0
08/09/2022 14:54:35:566947,1.0,8.0
08/09/2022 14:54:37:096368,2.0,8.0
