timestamp,LL,LC,LR,RL,RC,RR
08/09/2022 14:53:07:893369,1920.82,1852.39,171.07,34.21,1935.48,2820.14
08/09/2022 14:53:07:895550,1920.82,1857.28,175.95,34.21,1935.48,2820.14
08/09/2022 14:53:07:898768,1920.82,1857.28,175.95,34.21,1935.48,2825.02
08/09/2022 14:53:07:899766,1920.82,1852.39,171.07,34.21,1935.48,2820.14
08/09/2022 14:53:07:899766,1920.82,1857.28,175.95,34.21,1935.48,2825.02
08/09/2022 14:53:07:907148,1915.93,1857.28,175.95,34.21,1935.48,2820.14
08/09/2022 14:53:07:909271,1920.82,1852.39,171.07,34.21,1940.37,2820.14
08/09/2022 14:53:07:912947,1920.82,1857.28,175.95,34.21,1935.48,2820.14
08/09/2022 14:53:07:914968,1920.82,1857.28,175.95,34.21,1935.48,2825.02
08/09/2022 14:53:07:917053,1920.82,1852.39,166.18,34.21,1935.48,2820.14
08/09/2022 14:53:07:920758,1920.82,1852.39,171.07,34.21,1935.48,2820.14
08/09/2022 14:53:07:922558,1920.82,1852.39,171.07,29.33,1935.48,2820.14
08/09/2022 14:53:07:926518,1920.82,1857.28,175.95,34.21,1935.48,2815.25
08/09/2022 14:53:07:928394,1920.82,1857.28,175.95,34.21,1935.48,2820.14
08/09/2022 14:53:07:930560,1920.82,1852.39,171.07,34.21,1935.48,2820.14
08/09/2022 14:53:07:934167,1920.82,1857.28,175.95,29.33,1935.48,2820.14
08/09/2022 14:53:07:936375,1920.82,1852.39,171.07,34.21,1940.37,2820.14
08/09/2022 14:53:07:940033,1920.82,1847.51,171.07,34.21,1930.60,2820.14
08/09/2022 14:53:07:941302,1920.82,1857.28,175.95,34.21,1935.48,2820.14
08/09/2022 14:53:07:943281,1920.82,1852.39,171.07,34.21,1935.48,2820.14
08/09/2022 14:53:07:947528,1920.82,1857.28,175.95,34.21,1935.48,2815.25
08/09/2022 14:53:07:949637,1920.82,1857.28,175.95,34.21,1935.48,2820.14
08/09/2022 14:53:07:953309,1920.82,1852.39,171.07,34.21,1935.48,2820.14
08/09/2022 14:53:07:955564,1920.82,1852.39,171.07,34.21,1935.48,2820.14
08/09/2022 14:53:07:959536,1920.82,1857.28,175.95,34.21,1935.48,2815.25
